Area,Bio_Pattern,Gender,BirthSeas,SubMorph,Morph,Yr,Seas,Time,Beg/Mid,Era,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,1,1,1,1,1,1874,1,1874,B,VIRG,7309.49,6354.66,5524.56,4802.9,4175.5,3630.06,3155.87,2743.63,2385.23,2073.65,1802.78,1567.28,1362.55,1184.56,1029.83,895.301,778.349,676.675,588.282,511.436,444.628,386.547,336.053,292.155,253.991,220.813,191.968,166.892,145.091,126.138,109.661,95.3359,82.8824,72.0556,62.6431,54.4601,47.3461,41.1613,35.7845,31.11,207.047
1,1,1,1,1,1,1874,1,1874.5,M,VIRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1875,1,1875,B,INIT,7309.49,6354.66,5524.56,4802.9,4175.5,3630.06,3155.87,2743.63,2385.23,2073.65,1802.78,1567.28,1362.55,1184.56,1029.83,895.301,778.349,676.675,588.282,511.436,444.628,386.547,336.053,292.155,253.991,220.813,191.968,166.892,145.091,126.138,109.661,95.3359,82.8824,72.0556,62.6431,54.4601,47.3461,41.1613,35.7845,31.11,207.047
1,1,1,1,1,1,1875,1,1875.5,M,INIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1876,1,1876,B,TIME,7309.82,6354.91,5524.76,4803.05,4175.62,3630.15,3155.94,2743.68,2385.27,2073.68,1802.8,1567.3,1362.56,1184.57,1029.83,895.307,778.354,676.678,588.284,511.438,444.629,386.548,336.054,292.155,253.991,220.813,191.968,166.892,145.091,126.138,109.661,95.336,82.8824,72.0556,62.6431,54.4601,47.3461,41.1613,35.7845,31.11,207.047
1,1,1,1,1,1,1876,1,1876.5,M,TIME,6815.68,5925.33,5151.29,4478.36,3893.34,3384.74,2942.58,2558.19,2224.01,1933.49,1680.91,1461.34,1270.44,1104.49,960.208,834.776,725.73,630.929,548.511,476.86,414.568,360.414,313.333,272.403,236.819,205.884,178.99,155.609,135.282,117.61,102.247,88.8905,77.2788,67.184,58.4079,50.7781,44.1451,38.3785,33.3652,29.0067,193.049
1,1,1,1,1,1,1877,1,1877,B,TIME,7309.85,6354.95,5524.78,4803.07,4175.63,3630.15,3155.92,2743.65,2385.24,2073.65,1802.77,1567.27,1362.54,1184.55,1029.81,895.289,778.338,676.665,588.273,511.427,444.62,386.54,336.047,292.149,253.986,220.808,191.965,166.889,145.088,126.135,109.659,95.334,82.8807,72.0541,62.6418,54.459,47.3451,41.1605,35.7838,31.1094,207.042
1,1,1,1,1,1,1877,1,1877.5,M,TIME,6815.72,5925.36,5151.31,4478.38,3893.35,3384.74,2942.57,2558.16,2223.97,1933.45,1680.88,1461.31,1270.42,1104.46,960.189,834.76,725.716,630.916,548.5,476.85,414.56,360.407,313.327,272.398,236.815,205.88,178.986,155.605,135.279,117.608,102.245,88.8887,77.2773,67.1826,58.4067,50.7771,44.1442,38.3777,33.3645,29.0061,193.045
1,1,1,1,1,1,1878,1,1878,B,TIME,7309.9,6354.98,5524.81,4803.09,4175.64,3630.16,3155.92,2743.63,2385.21,2073.62,1802.73,1567.24,1362.51,1184.53,1029.79,895.272,778.323,676.651,588.261,511.417,444.611,386.532,336.04,292.144,253.981,220.804,191.961,166.885,145.085,126.133,109.656,95.3321,82.879,72.0527,62.6405,54.4579,47.3441,41.1596,35.783,31.1087,207.038
1,1,1,1,1,1,1878,1,1878.5,M,TIME,6815.76,5925.39,5151.34,4478.4,3893.37,3384.75,2942.57,2558.14,2223.95,1933.42,1680.85,1461.28,1270.39,1104.44,960.17,834.744,725.702,630.904,548.49,476.841,414.552,360.399,313.321,272.392,236.81,205.876,178.982,155.602,135.276,117.605,102.243,88.8868,77.2757,67.1813,58.4055,50.7761,44.1433,38.3769,33.3638,29.0055,193.041
