ParName   Value   Gradient
MGparm[1]     0.145041      0.15265
MGparm[2]      15.8469   -0.0176967
MGparm[3]      54.4429   -0.0771789
MGparm[4]     0.133149   -0.0391368
MGparm[5]     0.188828   -0.0168014
MGparm[6]    0.0261391  -0.00812275
MGparm[13]     0.153845    0.0838622
MGparm[14]       16.537   -0.0116605
MGparm[15]      43.2105   -0.0445958
MGparm[16]     0.202359   -0.0216352
MGparm[17]      0.13652  -0.00749152
MGparm[18]     0.046611  -0.00655508
SR_parm[1]      9.64102    -0.713393
SR_parm[2]     0.887241   -0.0214864
recdev_early(1845) 5.25876e-007 -9.56741e-008
recdev_early(1846) 6.07892e-007 -1.11024e-007
recdev_early(1847) 7.02627e-007 -1.27868e-007
recdev_early(1848) 8.12003e-007 -1.46956e-007
recdev_early(1849) 9.38159e-007 -1.71919e-007
recdev_early(1850)  1.0838e-006 -1.9674e-007
recdev_early(1851) 1.25172e-006 -2.26881e-007
recdev_early(1852) 1.44524e-006 -2.62861e-007
recdev_early(1853) 1.66822e-006 -3.02823e-007
recdev_early(1854) 1.92495e-006 -3.48787e-007
recdev_early(1855) 2.22031e-006 -4.02875e-007
recdev_early(1856) 2.55991e-006 -4.64582e-007
recdev_early(1857) 2.95008e-006 -5.33463e-007
recdev_early(1858) 3.39781e-006 -6.14619e-007
recdev_early(1859) 3.91116e-006 -7.07085e-007
recdev_early(1860) 4.49908e-006 -8.12993e-007
recdev_early(1861) 5.17162e-006 -9.33586e-007
recdev_early(1862) 5.93992e-006 -1.07106e-006
recdev_early(1863) 6.81632e-006 -1.22919e-006
recdev_early(1864) 7.81462e-006 -1.40743e-006
recdev_early(1865)  8.9499e-006 -1.61062e-006
recdev_early(1866) 1.02389e-005 -1.84009e-006
recdev_early(1867) 1.16999e-005 -2.10189e-006
recdev_early(1868) 1.33523e-005 -2.3948e-006
recdev_early(1869) 1.52158e-005 -2.72787e-006
recdev_early(1870) 1.73114e-005 -3.09893e-006
recdev_early(1871) 1.96664e-005 -3.51721e-006
recdev_early(1872) 2.23217e-005 -3.9868e-006
recdev_early(1873) 2.53264e-005 -4.51811e-006
recdev_early(1874) 2.87296e-005 -5.11924e-006
recdev_early(1875) 3.25839e-005 -5.79945e-006
recdev_early(1876) 3.69485e-005 -6.5688e-006
recdev_early(1877) 4.18909e-005 -7.43884e-006
recdev_early(1878) 4.74868e-005 -8.4223e-006
recdev_early(1879)  5.3822e-005 -9.53425e-006
recdev_early(1880) 6.09933e-005 -1.07924e-005
recdev_early(1881) 6.91093e-005 -1.22141e-005
recdev_early(1882) 7.82928e-005  -1.382e-005
recdev_early(1883) 8.86816e-005 -1.56353e-005
recdev_early(1884)  0.000100432 -1.76867e-005
recdev_early(1885)  0.000113721 -2.00022e-005
recdev_early(1886)  0.000128747 -2.26181e-005
recdev_early(1887)  0.000145734 -2.55718e-005
recdev_early(1888)  0.000164935 -2.89055e-005
recdev_early(1889)  0.000186635 -3.26685e-005
recdev_early(1890)  0.000211156 -3.69155e-005
recdev_early(1891)  0.000238861 -4.17075e-005
recdev_early(1892)  0.000270159 -4.71138e-005
recdev_early(1893)  0.000305511 -5.32115e-005
recdev_early(1894)  0.000345437 -6.00891e-005
recdev_early(1895)  0.000390509 -6.78424e-005
recdev_early(1896)   0.00044139 -7.65824e-005
recdev_early(1897)  0.000498823 -8.64342e-005
recdev_early(1898)  0.000563625 -9.75347e-005
recdev_early(1899)  0.000636729 -0.000110039
recdev_early(1900)  0.000719173 -0.000124123
recdev_early(1901)  0.000812147 -0.000139981
